org,category,title,location,department,url,posted_at,description,source_url
GovAI,governance,Research Scholar,"London, UK or Washington, DC (flexible)",,https://www.governance.ai/post/research-scholar,2026-07-20,"The Research Scholar role is a one-year visiting position designed to support the career development of AI governance researchers and practitioners, while offering opportunities to do impactful work. Scholars have freedom to pursue many different projects: policy research, social science research, or technical research; advising policymakers; or starting new applied projects. Topics include risk management, threat modeling, economics of AI, geopolitics of AI, public policy, and technical governance. You will be supervised by a member of the GovAI team or network, mentored by an external expert, and receive guidance from a Research Manager. Note: for researchers with significant experience in AI governance research, GovAI is also hiring Research Fellows; there is a shared application for both roles. Duration: fixed 12-month term. Location: candidates typically based in London, UK or Washington, DC, though candidates elsewhere are considered. Successful candidates based in London typically receive between GBP 75,000 and GBP 103,500 per year, and those based in Washington, DC typically earn $100,000-$165,000. Applications close 23:59 AoE Sunday 16 August 2026. GovAI was founded to help humanity navigate the transition to a world with advanced AI. It operates as a 501(c)(3) think tank with offices in London and Washington, DC, as well as remote staff in various locations.",https://www.governance.ai/opportunities
GovAI,governance,Research Fellow,"London, UK or Washington, DC (flexible)",,https://www.governance.ai/post/research-fellow,2026-07-20,"Research Fellows play a central role in GovAI's research. They are experienced researchers who conduct independent, high-quality research to inform high-stakes decisions in government and industry. Fellows help drive forward GovAI's core research priorities while supervising junior researchers, and enjoy substantial autonomy in selecting projects, shaping research agendas, and deciding on publication formats. Work may involve defining and executing a research agenda, informing policymakers, producing academic publications, policy memos, reports or blog posts, and organizing events. Note: successful applicants will have substantial research experience in a relevant area; the most promising candidates will typically have multiple years of relevant research or policy experience and a track record of producing high-quality work. For researchers with less experience, GovAI offers one-year visiting Research Scholar positions. Contracts are full-time and last two years on a fixed-term basis, with the possibility of renewal. Successful candidates based in London typically receive between GBP 84,000 and GBP 103,500 per year, and those based in Washington, DC typically earn $134,500-$170,000. Visa sponsorship available in the UK. Applications close 23:59 AoE Sunday 16 August 2026. GovAI was founded to help humanity navigate the transition to a world with advanced AI. It operates as a 501(c)(3) think tank with offices in London and Washington, DC, as well as remote staff in various locations.",https://www.governance.ai/opportunities
GovAI,governance,DC Chief of Staff,"Washington, DC",,https://www.governance.ai/post/dc-chief-of-staff,2026-07-16,"As GovAI's DC Chief of Staff, you will work closely with the Executive Director to shape and execute GovAI's strategy in Washington, serving as a trusted thought partner and exercising judgment on the decisions and projects that determine GovAI's impact in DC. You will build the team, systems, relationships, and physical presence GovAI needs to succeed in Washington. Core responsibilities: acting as a strategic partner to the Executive Director and future Head of US Policy; surfacing and pitching DC opportunities such as collaborations, hires, partnerships and events; taking on work, decisions and relationships that would otherwise land on leadership; standing in for GovAI leadership in DC; building and running the DC office; serving as the accountable party for cross-cutting projects; managing DC hiring rounds end to end, including the search for the Head of US Policy; and handling inbound engagement and relationships. The role rewards judgment more than polish on any one task. Reports to Executive Director Ben Garfinkel. Full-time and based in Washington, DC; US work visa sponsorship available. Applications close Sunday 16 August at 11:59 p.m. ET. GovAI was founded to help humanity navigate the transition to a world with advanced AI. It operates as a 501(c)(3) think tank with offices in London and Washington, DC, as well as remote staff in various locations.",https://www.governance.ai/opportunities
GovAI,governance,Head of US Policy,"Washington, DC",,https://www.governance.ai/post/head-of-us-policy,2026-07-06,"As GovAI's Head of US Policy, you will direct GovAI's federal policy research and help drive its buildup in Washington, DC. The role involves strategy, leadership, research input, recruitment, and relationship-building, as well as input to DC-focused fellowship programs, and may expand to full ownership of the DC programs. This is a senior leadership role with significant autonomy, reporting directly to Executive Director Ben Garfinkel. Core responsibilities: developing and refining GovAI's US-focused research strategy and agenda; providing strategic input on individual researchers' priorities and plans; ensuring US-focused research meets GovAI's standards of rigor and relevance; identifying and recruiting exceptional researchers for the DC team; providing supervision and mentorship to DC-based researchers; establishing team structures and shaping team culture; developing collaborative relationships with other organizations; and building and maintaining relationships with policymakers in DC. Full-time and based in Washington, DC; US work visa sponsorship available. Initial application deadline 6 August 2026, rolling thereafter. GovAI was founded to help humanity navigate the transition to a world with advanced AI. It operates as a 501(c)(3) think tank with offices in London and Washington, DC, as well as remote staff in various locations.",https://www.governance.ai/opportunities
GovAI,governance,Director of Operations - Expressions of Interest,London or US East Coast preferred; remote considered,,https://www.governance.ai/post/doo-eoi-2026,2026-05-21,"GovAI needs an excellent operations team supporting its programmes and people, and is looking for someone to shape and lead that team. This is an expression-of-interest listing: candidates register interest via a short form rather than a full application. You will lead the operations team, currently 13 team members, identify future operational needs and hire to fill them; shepherd GovAI through its next phase of growth (from three core staff at the end of 2021 to more than 45 staff members and more than 100 seasonal fellows per year); develop operational processes and ensure their excellent execution; oversee recruitment and selection processes for the whole organisation, including seasonal fellowship rounds that have grown from roughly 500 to more than 15,000 applications; and guide day-to-day operations. Full-time. Ideally based in London or the US East Coast, though remote candidates in other locations who can overlap ET and GMT are considered. Visa sponsorship available in the US and UK. Annual compensation for candidates based in Washington, DC is expected to typically fall between $155,000-$190,000 USD, based on prior experience and location. GovAI was founded to help humanity navigate the transition to a world with advanced AI. It operates as a 501(c)(3) think tank with offices in London and Washington, DC, as well as remote staff in various locations.",https://www.governance.ai/opportunities
Apart Research,research,"Research Scientist, Manipulation Evals",Remote (EU time-zone overlap required; Europe preferred),,https://apartresearch.notion.site/research-scientist-manipulation-evals,,"Apart Research is hiring a Research Scientist for Manipulation Evals to design, build, and publish novel evaluations of AI harmful manipulation that directly inform EU AI Act enforcement. From August 2026 the EU AI Office can fine frontier labs up to 3% of global annual turnover for deploying manipulative AI, but the evaluation methods for many risk scenarios do not yet exist. You will own the full pipeline: develop and prioritize risk scenarios, build and run evals end to end against frontier models using coding agents, analyze results, and write them up; design novel evaluation methods; perform literature reviews; investigate model behavior and red-team results; deliver new results at least weekly; and communicate technical results so regulators can act on them. Must-haves: fast shipper fluent with coding agents; high context on evals with prior hands-on evals experience and strong references; at least one co-authored paper at a top AI/ML venue (workshop papers or preprints with clear impact also considered); a track record of hands-on, safety-relevant empirical work; strong Python and software engineering including eval frameworks such as Inspect and LLM APIs; clear technical writing for a regulator audience; and self-direction. Nice-to-haves: research experience in AI manipulation, deception, persuasion or sycophancy; measurement and study design (IRT, psychometrics, meta-analysis, human-subjects studies, causal inference); native-level fluency in a non-English EU language; familiarity with the EU AI Act; experience with Inspect. Full-time; Apart expects to make more than one hire. Compensation $130,000-200,000 gross per year, flexible by experience and adjusted for cost of living. Fully remote with overlap with EU time zones required and a strong preference for Europe-based candidates.",https://www.apartresearch.com/careers
Apart Research,research,Exceptional Talent,Remote,,https://apartresearch.notion.site/1acfcfd1de9d8084a7abe3d00c5d2296,,"Open, standing application for exceptional candidates rather than a specific vacancy. Apart invites anyone who believes they can make a serious contribution to AI security to apply, explicitly including people strong at communications and social media management, people with experience managing teams of researchers remotely, and anyone with a comparative advantage that could make Apart Research more impactful. The application asks for short written answers on curiosity, mindset, and collaboration, plus a CV and links to notable work. Listed as full-time and remote.",https://www.apartresearch.com/careers
Redwood Research,research,Member of Technical Staff,"Berkeley, CA",,https://www.redwoodresearch.org/careers,,"Redwood Research staff think carefully about threat models associated with AI, carefully analyze countermeasures through empirical methods or otherwise, and communicate their results. Example areas of research include AI control (improving safety despite intentional subversion), alignment faking in large language models (with Anthropic), and sketching AI control safety cases (with UK AISI). Required skills: machine learning, since the work involves both LLM APIs and running ML experiments on their own hardware; software engineering, for example orchestrating large numbers of Docker containers to run many AI agents in parallel or running ML experiments at moderate scale efficiently; strong communication and collaboration skills; and a deep interest in AI safety and mitigating potential risks. This role is based in Berkeley, California. For Member of Technical Staff roles, compensation ranges from $180,000 to $207,000 per year, depending on experience.",https://www.redwoodresearch.org/careers
Palisade Research,research,Congressional Policy Lead,"Washington, DC",,https://jobs.gusto.com/postings/palisade-research-congressional-policy-lead-027ec20f-7473-4afe-a175-02ec56cf60aa,,"Palisade's mission is to help people and institutions build the understanding needed to avoid permanent disempowerment by strategic AI agents. Palisade's team has been engaging Congress for about a year and a half, but has not had a dedicated full-time lead for that engagement. Responsibilities: support the head of policy as the core expert on what is happening on the Hill; track developments on Capitol Hill and manage proactive planning for key Congressional calendar items such as must-pass bills; brief Congressional offices and deepen relationships with staff and elected officials; develop legislative proposals that offices can take to legislative counsel to turn into draft bills; and advocate for policy recommendations with government, media, and the non-profit community. Desired qualifications (candidates are expected to have many but not all, and applicants transitioning from another field are explicitly encouraged): familiarity with AI national security risks including loss of control, recursive self-improvement, catastrophic misuse, and the pace of AI capabilities growth; a willingness to dive in and get things done; a proven track record of effectively advocating for policy changes for at least 5 years across a range of stakeholders and views, ideally in Congressional offices or advocating on Capitol Hill, but potentially including management consulting, startups, the nonprofit sector, or the Executive Branch; excellent oral briefing and meeting management skills; understanding of DC policy processes; and a relevant network of contacts in DC and/or national media or nonprofits. Based in Washington, DC with occasional travel to the Berkeley home office. Full-time salaried employment, hybrid or full-time in person. Salary $120,000-$180,000 dependent on level of experience. Reports to Head of Policy Dave Kasten.",https://palisade-research.notion.site/hiring-us
Palisade Research,research,Regulatory and Legal Policy Expert,"Washington, DC",,https://jobs.gusto.com/postings/palisade-research-regulatory-and-legal-policy-expert-27572c55-be63-4f9f-b5a8-d813ecbb8664,,"Palisade's mission is to help people and institutions build the understanding needed to avoid permanent disempowerment by strategic AI agents. Palisade has not historically engaged on AI policy from a primarily legal angle, and believes that as AI policy moves from policymaker awareness to a need for action, engaging key policy and regulatory questions from a legal perspective will be essential. Non-traditional candidates, from senior lawyers to law students to people with non-lawyer expertise in regulatory agencies, are explicitly encouraged. Responsibilities: support the head of policy; conduct detailed policy research and develop floor-ready legislative text, proposals for the executive branch, and Federal Register filings; understand how various policy mechanisms might be more or less feasible in response to Supreme Court rulings and new legislation; and advocate for policy recommendations with government, media, and the non-profit community. Desired qualifications (candidates are expected to have many but not all): familiarity with AI national security risks including loss of control, recursive self-improvement, catastrophic misuse, and the pace of AI capabilities growth; a legal, regulatory, Executive Branch, or Congressional background, with a law degree beneficial but not required; a willingness to dive in and get things done; a proven track record of effectively advocating for policy changes for at least 5 years across a range of stakeholders and views, potentially including law, startups, the nonprofit sector, or work on Capitol Hill or the Executive Branch; and an understanding of DC policy processes, communities, and mechanisms. Based in Washington, DC with occasional travel to the Berkeley home office. Full-time salaried employment, hybrid or full-time in person. Salary $120,000-$160,000 dependent on experience. Reports to Head of Policy Dave Kasten.",https://palisade-research.notion.site/hiring-us
